"SHIPMENT_ID","PLANT_ID","DC_ID","SKU_ID","UNITS_SHIPPED","SHIP_DATE","EXPECTED_ARRIVAL_DATE","ACTUAL_ARRIVAL_DATE","CARRIER_NAME","SHIPMENT_STATUS","FREIGHT_COST"
"SHP001","PLT001","DC003","SKU001",5000,"2025-12-02","2025-12-05","2025-12-09","XPO Logistics","Delivered",2500.00
"SHP002","PLT001","DC003","SKU001",3000,"2025-12-12","2025-12-15","2025-12-19","FedEx Freight","Delivered",1800.00
"SHP003","PLT001","DC003","SKU001",2500,"2025-12-18","2025-12-21","\N","XPO Logistics","Delayed",1500.00
"SHP004","PLT001","DC003","SKU002",6000,"2025-12-03","2025-12-06","2025-12-06","SAIA","Delivered",2800.00
"SHP005","PLT001","DC003","SKU002",5000,"2025-12-10","2025-12-13","2025-12-13","SAIA","Delivered",2400.00
"SHP006","PLT001","DC003","SKU002",5000,"2025-12-17","2025-12-20","2025-12-20","FedEx Freight","Delivered",2400.00
"SHP007","PLT001","DC002","SKU001",5000,"2025-12-01","2025-12-04","2025-12-04","XPO Logistics","Delivered",2200.00
"SHP008","PLT001","DC002","SKU001",5000,"2025-12-06","2025-12-09","2025-12-09","XPO Logistics","Delivered",2200.00
"SHP009","PLT002","DC002","SKU001",5000,"2025-12-11","2025-12-14","2025-12-14","FedEx Freight","Delivered",2400.00
"SHP010","PLT001","DC002","SKU001",5000,"2025-12-16","2025-12-19","2025-12-19","XPO Logistics","Delivered",2200.00
"SHP011","PLT002","DC002","SKU001",4000,"2025-12-19","2025-12-22","\N","SAIA","In Transit",1900.00
"SHP012","PLT001","DC002","SKU002",6000,"2025-12-02","2025-12-05","2025-12-05","XPO Logistics","Delivered",2600.00
"SHP013","PLT002","DC002","SKU002",6000,"2025-12-09","2025-12-12","2025-12-12","FedEx Freight","Delivered",2800.00
"SHP014","PLT001","DC002","SKU002",5000,"2025-12-15","2025-12-18","2025-12-18","SAIA","Delivered",2300.00
"SHP015","PLT002","DC002","SKU002",5000,"2025-12-20","2025-12-23","\N","XPO Logistics","In Transit",2300.00
"SHP016","PLT003","DC001","SKU001",6000,"2025-12-01","2025-12-03","2025-12-03","SAIA","Delivered",1800.00
"SHP017","PLT003","DC001","SKU001",6000,"2025-12-05","2025-12-07","2025-12-07","SAIA","Delivered",1800.00
"SHP018","PLT003","DC001","SKU001",6000,"2025-12-09","2025-12-11","2025-12-11","FedEx Freight","Delivered",2000.00
"SHP019","PLT003","DC001","SKU001",6000,"2025-12-13","2025-12-15","2025-12-15","SAIA","Delivered",1800.00
"SHP020","PLT003","DC001","SKU001",1800,"2025-12-17","2025-12-19","2025-12-19","FedEx Freight","Delayed",2000.00
"SHP021","PLT003","DC001","SKU001",1500,"2025-12-20","2025-12-22","\N","SAIA","Delayed",1500.00
"SHP022","PLT003","DC001","SKU002",7000,"2025-12-02","2025-12-04","2025-12-04","SAIA","Delivered",2100.00
"SHP023","PLT003","DC001","SKU002",7000,"2025-12-08","2025-12-10","2025-12-10","FedEx Freight","Delivered",2300.00
"SHP024","PLT003","DC001","SKU002",6000,"2025-12-14","2025-12-16","2025-12-16","SAIA","Delivered",1800.00
"SHP025","PLT003","DC001","SKU002",6000,"2025-12-19","2025-12-21","2025-12-21","FedEx Freight","Delivered",2000.00
"SHP_EMERG001","PLT001","DC003","SKU002",25000,"2025-12-20","2025-12-26","\N","XPO Logistics","In Transit",9500.00
"SHP_EMERG002","PLT002","DC003","SKU002",20000,"2025-12-22","2025-12-28","\N","FedEx Freight","Scheduled",8200.00
"SHP_DC004_001","PLT001","DC004","SKU001",8000,"2025-12-01","2025-12-04","2025-12-04","XPO Logistics","Delivered",2800.00
"SHP_DC004_002","PLT001","DC004","SKU002",7000,"2025-12-01","2025-12-04","2025-12-04","FedEx Freight","Delivered",2400.00
"SHP_DC004_003","PLT001","DC004","SKU003",6000,"2025-12-01","2025-12-04","2025-12-04","XPO Logistics","Delivered",2100.00
"SHP_DC004_004","PLT001","DC004","SKU004",5500,"2025-12-01","2025-12-04","2025-12-04","FedEx Freight","Delivered",1900.00
"SHP_DC004_005","PLT001","DC004","SKU001",6000,"2025-12-08","2025-12-11","2025-12-11","XPO Logistics","Delivered",2200.00
"SHP_DC004_006","PLT001","DC004","SKU002",5500,"2025-12-08","2025-12-11","2025-12-11","FedEx Freight","Delivered",1900.00
"SHP_DC004_007","PLT001","DC004","SKU001",6000,"2025-12-15","2025-12-18","2025-12-18","XPO Logistics","Delivered",2200.00
"SHP_DC004_008","PLT001","DC004","SKU002",5000,"2025-12-15","2025-12-18","2025-12-18","FedEx Freight","Delivered",1800.00
